Timestamp,Symbol,Action,Theo_Price,Real_Price,Slippage_Pts,Qty,SL_Points,Engine,Telemetry,Status,Account_PnL_Context,Trade_Exact_PnL,Regime_Dist,Session_Range,Session_Volume,Regime_Executed
2026-06-28 17:16:19,MNQ,BUY,20000.5,0.0,0.0,0,500.0,AUDITOR_BOT,Test_Data|A:1|B:2,REJECTED_SL_EXCEEDS_BASE_RISK,0.0,0.0,12.03,461.0,334506.0,2.0
2026-06-28 17:16:21,MCL,UNKNOWN,80.5,0.0,0.0,0,10.0,AUDITOR_BOT,,REJECTED_UNKNOWN_CMD,0.0,0.0,11.32,2.38,212200.0,1.0
2026-06-29 09:49:20,MGC,SELL,4052.2,4052.2,0.0,6,7.881,Lon_Viper_S,|Rng:31.9|A5:5.25|RV:3.06|VwP:-0.54|RSI:31.05,APPROVED,0.0,0.0,-9.96,127.8,114219.0,2.0
2026-06-29 12:10:47,MNQ,BUY,20000.5,0.0,0.0,0,500.0,E2E_TV_TEST,Auditoria_Extremo_A_Extremo,REJECTED_SL_EXCEEDS_BASE_RISK,0.0,0.0,14.68,795.75,331363.0,2.0
2026-06-29 12:15:22,MNQ,BUY,20000.5,0.0,0.0,12,20.0,E2E_TV_TEST,Prueba_Pase_Libre,REJECTED_NT8_EXECUTION,0.0,0.0,14.68,795.75,331363.0,2.0
2026-06-29 12:20:42,MNQ,BUY,20000.5,0.0,0.0,12,20.0,E2E_TV_TEST,Prueba_Pase_Libre,REJECTED_NT8_EXECUTION,0.0,0.0,14.68,795.75,331363.0,2.0
2026-06-29 12:25:30,MNQ,BUY,20000.5,0.0,0.0,12,20.0,E2E_TV_TEST,Prueba_Pase_Libre,REJECTED_NT8_EXECUTION,0.0,0.0,14.68,795.75,331363.0,2.0
2026-06-29 12:49:48,MNQ,BUY,20000.5,0.0,0.0,12,20.0,E2E_TV_TEST,Prueba_Pase_Libre,REJECTED_NT8_EXECUTION,-24.0,0.0,14.68,795.75,331363.0,2.0
2026-06-29 13:01:19,MNQ,BUY,20000.5,0.0,0.0,12,20.0,E2E_TV_TEST,Prueba_Pase_Libre,REJECTED_API_TIMEOUT,-48.0,0.0,14.68,795.75,331363.0,2.0
2026-06-29 13:15:32,MNQ,BUY,20000.5,20000.5,0.0,12,20.0,E2E_TV_TEST,Prueba_Pase_Libre,APPROVED_ASSUMED,-72.0,0.0,14.68,795.75,331363.0,2.0
